track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#
62,261,1,2023,5,19,4.219507705176107,8,17.685802384856274,7,10,0.0,0,57.0,90,0,74,36,63,26,0,27,5,False,False,False,False,False,False,True,False,False,False,False
173,39,1,2010,1,1,9.957360018000617,13,21.21883162074326,82,0,,0,0.0,109,1,63,46,85,1,0,9,5,False,False,False,False,False,False,False,True,False,False,False
352,119,1,2013,9,13,10.077650921628619,31,21.481806694924796,187,99,,1,0.0,129,0,57,41,66,63,0,12,5,False,False,False,False,False,False,True,False,False,False,False
409,279,1,2021,4,9,7.8709295967551425,12,19.674533164493567,47,90,1.0,0,7.0,130,1,63,49,73,5,0,9,3,False,False,False,False,False,False,False,False,True,False,False
42,279,1,2023,7,7,4.465908118654584,11,17.2280832283421,3,33,3.0,0,1.0,146,0,50,67,89,0,0,19,8,False,False,True,False,False,False,False,False,False,False,False
319,118,1,2020,2,10,7.489412083508719,14,19.819735377902447,1,50,19.0,0,19.0,139,0,48,37,41,32,0,10,10,True,False,False,False,False,False,False,False,False,False,False
113,224,1,2010,7,20,6.20050917404269,36,20.108290606668692,4,3,19.0,0,0.0,95,0,84,52,77,12,0,7,4,False,False,False,False,False,False,False,False,True,False,False
89,205,1,2022,12,19,7.051855622955894,22,19.800911911004377,28,125,11.0,1,51.0,134,0,81,18,64,3,0,10,11,False,False,False,False,False,False,False,False,True,False,False
27,272,4,2023,6,2,6.313548046277095,4,18.278813366202847,13,46,20.0,1,10.0,146,0,61,20,48,21,0,12,6,False,False,True,False,False,False,False,False,False,False,False
12,200,3,2022,11,24,6.903747257584598,19,19.954457082017562,12,117,9.0,5,3.0,136,0,77,79,73,15,0,27,10,False,False,True,False,False,False,False,False,False,False,False
277,18,3,2023,5,15,5.187385805840755,6,17.982687914169702,6,71,1.0,0,31.0,100,1,56,53,55,53,0,12,4,False,False,False,False,False,False,True,False,False,False,False
145,279,1,2023,5,26,6.306275286948016,0,18.044050350755057,15,15,6.0,0,0.0,106,1,67,24,78,15,0,30,4,False,False,False,False,False,False,False,True,False,False,False
61,31,2,2023,3,30,6.525029657843462,10,18.899774129655402,15,92,21.0,2,26.0,132,1,85,53,68,40,0,9,4,False,False,False,False,True,False,False,False,False,False,False
314,193,2,2023,6,2,5.808142489980444,5,18.065532862032132,18,41,5.0,0,19.0,120,1,78,5,30,21,0,13,5,True,False,False,False,False,False,False,False,False,False,False
